nome;email;idade;cidade
User 0;user0@email.com;65;Fortaleza
User 1;user1@email.com;51;Fortaleza
User 2;user2@email.com;44;Fortaleza
User 3;user3@email.com;51;Rio de Janeiro
User 4;user4@email.com;47;São Paulo
User 5;user5@email.com;65;São Paulo
User 6;user6@email.com;49;Rio de Janeiro
User 7;user7@email.com;25;São Paulo
User 8;user8@email.com;23;Rio de Janeiro
User 9;user9@email.com;20;Fortaleza
User 10;user10@email.com;66;Fortaleza
User 11;user11@email.com;22;Rio de Janeiro
User 12;user12@email.com;20;Rio de Janeiro
User 13;user13@email.com;21;Fortaleza
User 14;user14@email.com;33;Fortaleza
User 15;user15@email.com;59;São Paulo
User 16;user16@email.com;54;Rio de Janeiro
User 17;user17@email.com;39;São Paulo
User 18;user18@email.com;68;Fortaleza
User 19;user19@email.com;59;São Paulo
User 20;user20@email.com;70;Fortaleza
User 21;user21@email.com;32;Fortaleza
User 22;user22@email.com;27;Rio de Janeiro
User 23;user23@email.com;47;Rio de Janeiro
User 24;user24@email.com;58;Fortaleza
User 25;user25@email.com;38;São Paulo
User 26;user26@email.com;35;São Paulo
User 27;user27@email.com;52;Rio de Janeiro
User 28;user28@email.com;35;Rio de Janeiro
User 29;user29@email.com;27;Rio de Janeiro
User 30;user30@email.com;61;Rio de Janeiro
User 31;user31@email.com;42;São Paulo
User 32;user32@email.com;25;Rio de Janeiro
User 33;user33@email.com;49;São Paulo
User 34;user34@email.com;68;São Paulo
User 35;user35@email.com;26;Rio de Janeiro
User 36;user36@email.com;35;São Paulo
User 37;user37@email.com;45;Fortaleza
User 38;user38@email.com;47;São Paulo
User 39;user39@email.com;38;Fortaleza
User 40;user40@email.com;20;Fortaleza
User 41;user41@email.com;30;Fortaleza
User 42;user42@email.com;19;Rio de Janeiro
User 43;user43@email.com;51;Rio de Janeiro
User 44;user44@email.com;18;São Paulo
User 45;user45@email.com;47;Rio de Janeiro
User 46;user46@email.com;47;Rio de Janeiro
User 47;user47@email.com;26;Fortaleza
User 48;user48@email.com;62;Fortaleza
User 49;user49@email.com;31;São Paulo
User 50;user50@email.com;67;São Paulo
User 51;user51@email.com;42;São Paulo
User 52;user52@email.com;70;São Paulo
User 53;user53@email.com;47;Fortaleza
User 54;user54@email.com;54;São Paulo
User 55;user55@email.com;37;São Paulo
User 56;user56@email.com;30;São Paulo
User 57;user57@email.com;33;São Paulo
User 58;user58@email.com;69;Fortaleza
User 59;user59@email.com;24;Fortaleza
User 60;user60@email.com;18;São Paulo
User 61;user61@email.com;47;São Paulo
User 62;user62@email.com;48;Rio de Janeiro
User 63;user63@email.com;34;Rio de Janeiro
User 64;user64@email.com;64;Rio de Janeiro
User 65;user65@email.com;37;Rio de Janeiro
User 66;user66@email.com;41;Rio de Janeiro
User 67;user67@email.com;57;São Paulo
User 68;user68@email.com;53;Rio de Janeiro
User 69;user69@email.com;18;Fortaleza
User 70;user70@email.com;48;São Paulo
User 71;user71@email.com;65;Rio de Janeiro
User 72;user72@email.com;26;Fortaleza
User 73;user73@email.com;37;São Paulo
User 74;user74@email.com;37;Rio de Janeiro
User 75;user75@email.com;62;São Paulo
User 76;user76@email.com;54;Rio de Janeiro
User 77;user77@email.com;49;Rio de Janeiro
User 78;user78@email.com;29;Fortaleza
User 79;user79@email.com;55;São Paulo
User 80;user80@email.com;45;São Paulo
User 81;user81@email.com;46;São Paulo
User 82;user82@email.com;50;São Paulo
User 83;user83@email.com;53;Fortaleza
User 84;user84@email.com;23;Rio de Janeiro
User 85;user85@email.com;53;São Paulo
User 86;user86@email.com;56;Fortaleza
User 87;user87@email.com;48;São Paulo
User 88;user88@email.com;50;Fortaleza
User 89;user89@email.com;30;São Paulo
User 90;user90@email.com;22;São Paulo
User 91;user91@email.com;60;Rio de Janeiro
User 92;user92@email.com;33;Fortaleza
User 93;user93@email.com;59;São Paulo
User 94;user94@email.com;50;Rio de Janeiro
User 95;user95@email.com;47;Rio de Janeiro
User 96;user96@email.com;70;Fortaleza
User 97;user97@email.com;52;São Paulo
User 98;user98@email.com;58;Fortaleza
User 99;user99@email.com;29;Rio de Janeiro
