nome;email;idade;cidade
User 0;user0@email.com;56;São Paulo
User 1;user1@email.com;69;Fortaleza
User 2;user2@email.com;53;Fortaleza
User 3;user3@email.com;64;São Paulo
User 4;user4@email.com;63;Rio de Janeiro
User 5;user5@email.com;30;Fortaleza
User 6;user6@email.com;54;São Paulo
User 7;user7@email.com;53;São Paulo
User 8;user8@email.com;51;Fortaleza
User 9;user9@email.com;33;São Paulo
User 10;user10@email.com;28;São Paulo
User 11;user11@email.com;48;São Paulo
User 12;user12@email.com;32;São Paulo
User 13;user13@email.com;29;Rio de Janeiro
User 14;user14@email.com;21;Fortaleza
User 15;user15@email.com;24;São Paulo
User 16;user16@email.com;47;Fortaleza
User 17;user17@email.com;70;Fortaleza
User 18;user18@email.com;32;Fortaleza
User 19;user19@email.com;48;Fortaleza
User 20;user20@email.com;64;Rio de Janeiro
User 21;user21@email.com;26;São Paulo
User 22;user22@email.com;40;Rio de Janeiro
User 23;user23@email.com;66;Rio de Janeiro
User 24;user24@email.com;69;Rio de Janeiro
User 25;user25@email.com;68;Rio de Janeiro
User 26;user26@email.com;29;Rio de Janeiro
User 27;user27@email.com;51;São Paulo
User 28;user28@email.com;67;São Paulo
User 29;user29@email.com;24;Fortaleza
User 30;user30@email.com;27;Fortaleza
User 31;user31@email.com;47;Rio de Janeiro
User 32;user32@email.com;50;Fortaleza
User 33;user33@email.com;33;São Paulo
User 34;user34@email.com;42;Fortaleza
User 35;user35@email.com;67;Fortaleza
User 36;user36@email.com;31;Rio de Janeiro
User 37;user37@email.com;58;Fortaleza
User 38;user38@email.com;58;São Paulo
User 39;user39@email.com;23;Rio de Janeiro
User 40;user40@email.com;66;Rio de Janeiro
User 41;user41@email.com;23;Fortaleza
User 42;user42@email.com;26;Rio de Janeiro
User 43;user43@email.com;29;Rio de Janeiro
User 44;user44@email.com;31;Rio de Janeiro
User 45;user45@email.com;48;Rio de Janeiro
User 46;user46@email.com;36;São Paulo
User 47;user47@email.com;27;Rio de Janeiro
User 48;user48@email.com;60;Fortaleza
User 49;user49@email.com;44;São Paulo
User 50;user50@email.com;69;Fortaleza
User 51;user51@email.com;20;Fortaleza
User 52;user52@email.com;70;Fortaleza
User 53;user53@email.com;53;Rio de Janeiro
User 54;user54@email.com;63;São Paulo
User 55;user55@email.com;48;Fortaleza
User 56;user56@email.com;55;Fortaleza
User 57;user57@email.com;33;Fortaleza
User 58;user58@email.com;59;Rio de Janeiro
User 59;user59@email.com;30;São Paulo
User 60;user60@email.com;61;Fortaleza
User 61;user61@email.com;56;Fortaleza
User 62;user62@email.com;45;Rio de Janeiro
User 63;user63@email.com;65;Rio de Janeiro
User 64;user64@email.com;20;Fortaleza
User 65;user65@email.com;65;São Paulo
User 66;user66@email.com;57;São Paulo
User 67;user67@email.com;39;Rio de Janeiro
User 68;user68@email.com;52;Fortaleza
User 69;user69@email.com;34;Fortaleza
User 70;user70@email.com;54;São Paulo
User 71;user71@email.com;54;São Paulo
User 72;user72@email.com;26;São Paulo
User 73;user73@email.com;56;Rio de Janeiro
User 74;user74@email.com;25;Rio de Janeiro
User 75;user75@email.com;40;São Paulo
User 76;user76@email.com;53;Fortaleza
User 77;user77@email.com;68;Rio de Janeiro
User 78;user78@email.com;68;São Paulo
User 79;user79@email.com;60;São Paulo
User 80;user80@email.com;44;São Paulo
User 81;user81@email.com;19;Rio de Janeiro
User 82;user82@email.com;20;São Paulo
User 83;user83@email.com;36;Rio de Janeiro
User 84;user84@email.com;66;Fortaleza
User 85;user85@email.com;38;São Paulo
User 86;user86@email.com;22;São Paulo
User 87;user87@email.com;36;São Paulo
User 88;user88@email.com;53;Rio de Janeiro
User 89;user89@email.com;63;Rio de Janeiro
User 90;user90@email.com;35;Fortaleza
User 91;user91@email.com;38;Rio de Janeiro
User 92;user92@email.com;50;Rio de Janeiro
User 93;user93@email.com;32;Fortaleza
User 94;user94@email.com;45;Rio de Janeiro
User 95;user95@email.com;56;São Paulo
User 96;user96@email.com;66;Rio de Janeiro
User 97;user97@email.com;30;Rio de Janeiro
User 98;user98@email.com;35;Rio de Janeiro
User 99;user99@email.com;64;São Paulo
User 100;user100@email.com;58;Fortaleza
User 101;user101@email.com;28;Rio de Janeiro
User 102;user102@email.com;24;São Paulo
User 103;user103@email.com;55;São Paulo
User 104;user104@email.com;68;Fortaleza
User 105;user105@email.com;67;Fortaleza
User 106;user106@email.com;36;São Paulo
User 107;user107@email.com;69;São Paulo
User 108;user108@email.com;51;Fortaleza
User 109;user109@email.com;63;Rio de Janeiro
User 110;user110@email.com;53;São Paulo
User 111;user111@email.com;55;Fortaleza
User 112;user112@email.com;53;São Paulo
User 113;user113@email.com;54;Fortaleza
User 114;user114@email.com;36;São Paulo
User 115;user115@email.com;69;São Paulo
User 116;user116@email.com;20;São Paulo
User 117;user117@email.com;58;Fortaleza
User 118;user118@email.com;48;São Paulo
User 119;user119@email.com;18;Rio de Janeiro
User 120;user120@email.com;21;São Paulo
User 121;user121@email.com;53;Rio de Janeiro
User 122;user122@email.com;64;Rio de Janeiro
User 123;user123@email.com;28;Rio de Janeiro
User 124;user124@email.com;40;Rio de Janeiro
User 125;user125@email.com;39;São Paulo
User 126;user126@email.com;27;Fortaleza
User 127;user127@email.com;53;Fortaleza
User 128;user128@email.com;41;Fortaleza
User 129;user129@email.com;46;São Paulo
User 130;user130@email.com;25;Rio de Janeiro
User 131;user131@email.com;56;Fortaleza
User 132;user132@email.com;24;Rio de Janeiro
User 133;user133@email.com;54;Fortaleza
User 134;user134@email.com;56;Fortaleza
User 135;user135@email.com;50;Rio de Janeiro
User 136;user136@email.com;18;São Paulo
User 137;user137@email.com;26;São Paulo
User 138;user138@email.com;34;Fortaleza
User 139;user139@email.com;48;Fortaleza
User 140;user140@email.com;45;Rio de Janeiro
User 141;user141@email.com;27;São Paulo
User 142;user142@email.com;68;São Paulo
User 143;user143@email.com;57;Rio de Janeiro
User 144;user144@email.com;54;Fortaleza
User 145;user145@email.com;46;Rio de Janeiro
User 146;user146@email.com;28;São Paulo
User 147;user147@email.com;54;Rio de Janeiro
User 148;user148@email.com;24;Rio de Janeiro
User 149;user149@email.com;48;Fortaleza
User 150;user150@email.com;38;São Paulo
User 151;user151@email.com;35;Rio de Janeiro
User 152;user152@email.com;33;São Paulo
User 153;user153@email.com;69;Rio de Janeiro
User 154;user154@email.com;51;Rio de Janeiro
User 155;user155@email.com;40;São Paulo
User 156;user156@email.com;32;Fortaleza
User 157;user157@email.com;23;Fortaleza
User 158;user158@email.com;55;Fortaleza
User 159;user159@email.com;51;Fortaleza
User 160;user160@email.com;59;Rio de Janeiro
User 161;user161@email.com;36;São Paulo
User 162;user162@email.com;34;Rio de Janeiro
User 163;user163@email.com;67;Fortaleza
User 164;user164@email.com;30;Fortaleza
User 165;user165@email.com;57;São Paulo
User 166;user166@email.com;52;Fortaleza
User 167;user167@email.com;32;Rio de Janeiro
User 168;user168@email.com;66;Fortaleza
User 169;user169@email.com;39;Rio de Janeiro
User 170;user170@email.com;31;Rio de Janeiro
User 171;user171@email.com;22;São Paulo
User 172;user172@email.com;49;Rio de Janeiro
User 173;user173@email.com;27;Fortaleza
User 174;user174@email.com;33;Fortaleza
User 175;user175@email.com;60;Rio de Janeiro
User 176;user176@email.com;44;Fortaleza
User 177;user177@email.com;45;Fortaleza
User 178;user178@email.com;32;Fortaleza
User 179;user179@email.com;68;Rio de Janeiro
User 180;user180@email.com;40;São Paulo
User 181;user181@email.com;33;São Paulo
User 182;user182@email.com;29;São Paulo
User 183;user183@email.com;63;São Paulo
User 184;user184@email.com;64;Fortaleza
User 185;user185@email.com;25;Rio de Janeiro
User 186;user186@email.com;42;Rio de Janeiro
User 187;user187@email.com;39;Fortaleza
User 188;user188@email.com;55;Rio de Janeiro
User 189;user189@email.com;34;São Paulo
User 190;user190@email.com;37;São Paulo
User 191;user191@email.com;25;Fortaleza
User 192;user192@email.com;50;São Paulo
User 193;user193@email.com;57;Rio de Janeiro
User 194;user194@email.com;69;Fortaleza
User 195;user195@email.com;60;Fortaleza
User 196;user196@email.com;42;São Paulo
User 197;user197@email.com;51;Fortaleza
User 198;user198@email.com;55;Rio de Janeiro
User 199;user199@email.com;21;São Paulo
User 200;user200@email.com;22;Rio de Janeiro
User 201;user201@email.com;57;São Paulo
User 202;user202@email.com;50;Fortaleza
User 203;user203@email.com;67;São Paulo
User 204;user204@email.com;51;Fortaleza
User 205;user205@email.com;60;Rio de Janeiro
User 206;user206@email.com;38;São Paulo
User 207;user207@email.com;54;Fortaleza
User 208;user208@email.com;25;Fortaleza
User 209;user209@email.com;21;Fortaleza
User 210;user210@email.com;65;São Paulo
User 211;user211@email.com;66;Fortaleza
User 212;user212@email.com;30;Fortaleza
User 213;user213@email.com;55;São Paulo
User 214;user214@email.com;51;São Paulo
User 215;user215@email.com;65;São Paulo
User 216;user216@email.com;67;Rio de Janeiro
User 217;user217@email.com;53;São Paulo
User 218;user218@email.com;20;Rio de Janeiro
User 219;user219@email.com;49;Rio de Janeiro
User 220;user220@email.com;40;Rio de Janeiro
User 221;user221@email.com;70;Rio de Janeiro
User 222;user222@email.com;69;Rio de Janeiro
User 223;user223@email.com;33;Fortaleza
User 224;user224@email.com;61;Rio de Janeiro
User 225;user225@email.com;42;Rio de Janeiro
User 226;user226@email.com;67;São Paulo
User 227;user227@email.com;35;Fortaleza
User 228;user228@email.com;59;São Paulo
User 229;user229@email.com;42;Fortaleza
User 230;user230@email.com;36;Fortaleza
User 231;user231@email.com;18;São Paulo
User 232;user232@email.com;27;São Paulo
User 233;user233@email.com;58;Rio de Janeiro
User 234;user234@email.com;69;Rio de Janeiro
User 235;user235@email.com;62;Rio de Janeiro
User 236;user236@email.com;38;Fortaleza
User 237;user237@email.com;69;Rio de Janeiro
User 238;user238@email.com;35;Rio de Janeiro
User 239;user239@email.com;46;São Paulo
User 240;user240@email.com;68;Fortaleza
User 241;user241@email.com;38;São Paulo
User 242;user242@email.com;62;São Paulo
User 243;user243@email.com;33;São Paulo
User 244;user244@email.com;56;Fortaleza
User 245;user245@email.com;29;São Paulo
User 246;user246@email.com;37;Fortaleza
User 247;user247@email.com;28;Rio de Janeiro
User 248;user248@email.com;40;São Paulo
User 249;user249@email.com;20;Rio de Janeiro
User 250;user250@email.com;68;São Paulo
User 251;user251@email.com;63;Fortaleza
User 252;user252@email.com;30;São Paulo
User 253;user253@email.com;26;Fortaleza
User 254;user254@email.com;44;Fortaleza
User 255;user255@email.com;30;Rio de Janeiro
User 256;user256@email.com;52;Fortaleza
User 257;user257@email.com;53;São Paulo
User 258;user258@email.com;21;Rio de Janeiro
User 259;user259@email.com;59;Rio de Janeiro
User 260;user260@email.com;23;Rio de Janeiro
User 261;user261@email.com;40;Fortaleza
User 262;user262@email.com;68;Rio de Janeiro
User 263;user263@email.com;21;Rio de Janeiro
User 264;user264@email.com;64;Fortaleza
User 265;user265@email.com;46;São Paulo
User 266;user266@email.com;61;Rio de Janeiro
User 267;user267@email.com;51;Fortaleza
User 268;user268@email.com;37;Fortaleza
User 269;user269@email.com;43;Rio de Janeiro
User 270;user270@email.com;32;São Paulo
User 271;user271@email.com;23;Rio de Janeiro
User 272;user272@email.com;59;São Paulo
User 273;user273@email.com;58;São Paulo
User 274;user274@email.com;34;Rio de Janeiro
User 275;user275@email.com;50;Fortaleza
User 276;user276@email.com;39;Fortaleza
User 277;user277@email.com;48;Fortaleza
User 278;user278@email.com;29;São Paulo
User 279;user279@email.com;19;Fortaleza
User 280;user280@email.com;38;Fortaleza
User 281;user281@email.com;35;Rio de Janeiro
User 282;user282@email.com;49;Fortaleza
User 283;user283@email.com;24;São Paulo
User 284;user284@email.com;41;Fortaleza
User 285;user285@email.com;35;Rio de Janeiro
User 286;user286@email.com;26;São Paulo
User 287;user287@email.com;22;Fortaleza
User 288;user288@email.com;18;Fortaleza
